ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family
AbengGajni,AbengGajni,,,,,,,
AnokLaiphuKarbaripara,AnokLaiphuKarbaripara,,,,,,,
AshongMildhanpara,AshongMildhanpara,,,,,,,
AtongNalchapra,AtongNalchapra,aton1241,Atong (India),aot,Eurasia,25.346508,90.658722,Sino-Tibetan
Bangla,Bangla,bang1341,Bangla,,Africa,,,Atlantic-Congo
ChibokNagarSontosh,ChibokNagarSontosh,,,,,,,
DebbarmaDoluchara,DebbarmaDoluchara,debb1238,Debbarma,,Eurasia,,,Sino-Tibetan
DebbarmaKhumuling,DebbarmaKhumuling,debb1238,Debbarma,,Eurasia,,,Sino-Tibetan
DebbarmaSatchari,DebbarmaSatchari,debb1238,Debbarma,,Eurasia,,,Sino-Tibetan
DendakNoimailGutchagram,DendakNoimailGutchagram,,,,,,,
GabingDolchariSapmara,GabingDolchariSapmara,,,,,,,
KemaPakkhipara,KemaPakkhipara,,,,,,,
KewaKrishnaDayalpara,KewaKrishnaDayalpara,,,,,,,
KhaliBeltolipara,KhaliBeltolipara,,,,,,,
MukchakBarbakpur,MukchakBarbakpur,,,,,,,
NaitongLombapara,NaitongLombapara,,,,,,,
PhatungJarichandrapara,PhatungJarichandrapara,,,,,,,
RiangOldlankar,RiangOldlankar,hala1254,Riang (Bru),,Eurasia,,,Sino-Tibetan
TongpaiTongpaipara,TongpaiTongpaipara,,,,,,,
UsoiBethanipara,UsoiBethanipara,usui1238,Usui,usi,Eurasia,23.0131,91.7879,Sino-Tibetan
UsoiBoroPharangsia,UsoiBoroPharangsia,usui1238,Usui,usi,Eurasia,23.0131,91.7879,Sino-Tibetan
UsoiChotoMadhuk,UsoiChotoMadhuk,usui1238,Usui,usi,Eurasia,23.0131,91.7879,Sino-Tibetan
UsoiKatchaptali,UsoiKatchaptali,usui1238,Usui,usi,Eurasia,23.0131,91.7879,Sino-Tibetan
UsoiRobertpara,UsoiRobertpara,usui1238,Usui,usi,Eurasia,23.0131,91.7879,Sino-Tibetan
