ID,Name,Glottocode,Sources,Longitude,Latitude
AbengGajni,AbengGajni,,Kim2011,90.058,25.185
AnokLaiphuKarbaripara,AnokLaiphuKarbaripara,,Kim2011,91.813,23.279
AshongMildhanpara,AshongMildhanpara,,Kim2011,91.849,23.336
AtongNalchapra,AtongNalchapra,aton1241,Kim2011,90.884,25.077
Bangla,Bangla,bang1341,Kim2011,90,24
ChibokNagarSontosh,ChibokNagarSontosh,,Kim2011,90.335,25.12
DebbarmaDoluchara,DebbarmaDoluchara,debb1238,Kim2011,91.78,24.304
DebbarmaKhumuling,DebbarmaKhumuling,debb1238,Kim2011,91.421,23.794
DebbarmaSatchari,DebbarmaSatchari,debb1238,Kim2011,91.442,24.125
DendakNoimailGutchagram,DendakNoimailGutchagram,,Kim2011,92.036,23.2
GabingDolchariSapmara,GabingDolchariSapmara,,Kim2011,91.917,23.085
KemaPakkhipara,KemaPakkhipara,,Kim2011,91.969,23.014
KewaKrishnaDayalpara,KewaKrishnaDayalpara,,Kim2011,91.763,23.283
KhaliBeltolipara,KhaliBeltolipara,,Kim2011,91.965,23.122
MukchakBarbakpur,MukchakBarbakpur,,Kim2011,89.643,23.753
NaitongLombapara,NaitongLombapara,,Kim2011,91.925,23.247
PhatungJarichandrapara,PhatungJarichandrapara,,Kim2011,91.882,23.014
RiangOldlankar,RiangOldlankar,hala1254,Kim2011,92.341,23.257
TongpaiTongpaipara,TongpaiTongpaipara,,Kim2011,91.822,23.221
UsoiBethanipara,UsoiBethanipara,usui1238,Kim2011,92.421,22.052
UsoiBoroPharangsia,UsoiBoroPharangsia,usui1238,Kim2011,92.238,21.764
UsoiChotoMadhuk,UsoiChotoMadhuk,usui1238,Kim2011,92.562,21.533
UsoiKatchaptali,UsoiKatchaptali,usui1238,Kim2011,92.351,22.234
UsoiRobertpara,UsoiRobertpara,usui1238,Kim2011,92.437,21.833
